ORIGIN,DEST
GJT,PHX
DFW,SBN
BHM,DFW
ORD,MKE
MKE,ORD
OKC,ORD
ORD,OKC
COU,DFW
ORD,GRR
DFW,YUM
ORD,PIT
PIT,ORD
PHX,SBP
SBP,PHX
PHX,SBA
SBA,PHX
ORD,MDT
DFW,ASE
PHX,MFR
ORD,MKE
MKE,ORD
GJT,PHX
ORD,ROC
STS,LAX
SFO,PDX
PDX,GEG
SJC,SEA
SAN,PDX
HDN,SAN
SAN,SEA
PDX,GEG
DAL,SEA
PSP,SFO
LAX,STS
PSP,SFO
PDX,SEA
SJC,SNA
SJC,SNA
SNA,SJC
SAN,STS
SAN,SFO
SFO,SAN
SAN,FAT
GEG,PDX
SAN,MRY
MRY,SAN
SLC,SMF
MSP,CMH
GFK,MSP
TWF,SLC
SLC,SFO
MOT,MSP
LAX,ABQ
SLC,OAK
DTW,ERI
BUR,SLC
SLC,BUR
SUN,SLC
SBN,ATL
SLC,IDA
ORD,SLC
LNK,MSP
SLC,DEN
GJT,LAX
MSP,CID
SLC,MSN
SLC,ABQ
SLC,SUN
SEA,PSC
XWA,MSP
DTW,LEX
DTW,IAD
SLC,FCA
LAN,DTW
SLC,EUG
LAX,SUN
SLC,TUS
BOI,SEA
MCI,SLC
EGE,SLC
SLC,EGE
SLC,RNO
ABQ,SLC
FAR,MSP
GJT,SLC
BRD,MSP
SLC,CPR
MSP,HIB
SLC,GJT
MQT,MSP
PIH,SLC
SLC,PIH
DTW,CIU
PLN,DTW
LWS,SLC
ESC,DTW
SCE,DTW
DTW,SWF
SGU,SLC
SLC,SGU
RHI,MSP
DTW,ABE
ABE,DTW
DTW,ABE
SLC,FAT
DVL,JMS
JMS,DEN
ORD,CMX
ORD,FWA
PRC,LAX
LAX,PRC
LAX,EUG
ASE,LAX
ACV,SFO
BIS,DEN
BOI,LAX
DEN,MFR
DEN,SLC
DEN,COS
ORD,PWM
BFL,DEN
EUG,SFO
DEN,SLC
COS,DEN
DEN,MRY
BUF,ORD
DEN,BZN
JAC,DEN
DEN,SBA
BOI,SFO
MOT,DEN
DEN,SUN
LAX,PHX
PSC,DEN
SNA,SFO
JAC,SFO
LAX,AUS
BUF,ORD
DEN,MSO
MSO,DEN
LIT,IAH
LAX,EGE
SFO,JAC
IAH,MAF
SFO,PSP
SAN,LAX
SBA,SFO
DEN,MKE
SFO,SMF
SLC,DEN
SLC,LAX
LAX,SEA
JAX,IAH
IAH,ABQ
IND,ORD
JAC,SFO
COS,LAX
DEN,ASE
DEN,SBP
LAX,ASE
LAX,BOI
LAX,BOI
SFO,SLC
LAX,SBA
LAX,SLC
SFO,SBA
TYS,DEN
LAX,FAT
SLC,IAH
MTJ,DEN
BUR,SFO
SFO,SUN
IAH,HOB
ASE,ORD
ORD,ROC
DEN,EGE
SFO,SBA
BZN,DEN
SLC,ORD
SFO,SLC
DEN,BOI
MKE,DEN
SFO,BOI
LAX,SAN
SMF,SFO
SBP,SFO
SFO,MSP
SFO,RDD
LAX,RDM
DEN,FAT
BZN,SFO
SFO,FAT
LIT,IAH
ORD,AVP
SMF,LAX
SFO,TUS
DEN,BIS
RIC,DEN
ASE,IAH
HDN,LAX
SFO,JAC
SLC,DEN
PSP,SFO
SFO,MRY
PSC,DEN
TUS,SFO
DEN,SBA
DEN,COS
SFO,PAE
EGE,DEN
SNA,SFO
MMH,SFO
FAT,SFO
SFO,PAE
SLC,IAH
DEN,PSC
SFO,EUG
LAX,ASE
SFO,ASE
SLC,DEN
TUS,SFO
ASE,DEN
SUN,ORD
SFO,SNA
SLC,SFO
SFO,MMH
DEN,ASE
SFO,RNO
PSP,SFO
LAX,EWR
EUG,DEN
LAX,MCO
LAX,BOS
DEN,JAC
EWR,IAH
MCO,DEN
ICT,DEN
BOS,DEN
ORF,IAD
EWR,BOS
SFO,EWR
EWR,AUS
LAX,IAD
LAX,EWR
SAN,IAD
SFO,LAX
MSY,SFO
DEN,SEA
SLC,ORD
LAX,SFO
HDN,IAH
EWR,SEA
ORD,IAH
SFO,DEN
DEN,SFO
MSY,IAD
IAH,IAD
ORD,OMA
IAH,MSY
IAH,DEN
SFO,EWR
IAH,AUS
DEN,PHL
LAX,ORD
EWR,LAX
ORD,IAD
MSY,DEN
EWR,TPA
IAH,SFO
EWR,MIA
BNA,SFO
CLE,DEN
LAX,ORD
MSY,IAH
EWR,IAH
EWR,SFO
EWR,LAX
SFO,CMH
MIA,DEN
MSY,EWR
SFO,ORD
IAH,PHL
LAX,SFO
SFO,KOA
EWR,EGE
LGA,ORD
DEN,PDX
BWI,SFO
SRQ,EWR
IAH,LAX
SFO,BWI
ORD,PBI
ORD,MCI
EWR,SRQ
JAX,MIA
MIA,JAX
PHL,EYW
MSP,MIA
BWI,MIA
RDU,RSW
RSW,RDU
JFK,ORD
BOS,JFK
ROC,LGA
BTR,ATL
MSP,DSM
MSP,BWI
LAS,FAT
LAS,SMX
EUG,LAS
AZA,OAK
PGD,IND
GRR,PIE
SFB,GRR
AZA,FAR
SMX,LAS
FLL,USA
USA,FLL
LAS,FAT
LAX,MTJ
LAS,BLI
PGD,RFD
LAS,EUG
MTJ,LAX
TYS,FLL
FLL,TYS
FAT,LAS
OAK,AZA
FLL,IND
AZA,BLI
FLL,AVL
PIT,DFW
PIT,DFW
ORD,PIT
ORD,RST
DFW,LIT
LIT,DFW
ORD,SUX
LGA,CMH
DFW,TUL
TUL,DFW
TYS,ORD
DFW,XNA
XNA,DFW
GRB,ORD
ORD,GRB
CMH,ORD
ORD,CMH
ORD,SGF
MIA,SAV
SAV,MIA
ORD,EYW
MIA,GSP
SDF,ORD
DFW,LFT
LFT,DFW
OKC,PHX
BFL,PHX
